W E2
6441.61 1.23729
6447.57 1.24353
6453.52 1.2498
6459.48 1.25609
6465.43 1.26241
6471.39 1.26875
6477.34 1.27511
6483.3 1.28149
6489.26 1.2879
6495.21 1.29432
6501.17 1.30078
6507.12 1.30725
6513.08 1.31375
6519.03 1.32028
6524.99 1.32682
6530.95 1.33339
6536.9 1.33999
6542.86 1.3466
6548.81 1.35324
6554.77 1.35991
6560.72 1.3666
6566.68 1.37331
6572.64 1.38005
6578.59 1.38681
6584.55 1.39359
6590.5 1.4004
6596.46 1.40724
6602.41 1.41409
6608.37 1.42098
6614.33 1.42789
6620.28 1.43482
6626.24 1.44177
6632.19 1.44876
6638.15 1.45576
6644.1 1.46279
6650.06 1.46985
6656.02 1.47693
6661.97 1.48404
6667.93 1.49117
6673.88 1.49833
6679.84 1.50551
6685.79 1.51272
6691.75 1.51995
6697.71 1.52721
6703.66 1.53449
6709.62 1.5418
6715.57 1.54914
6721.53 1.5565
6727.48 1.56389
6733.44 1.5713
6739.4 1.57874
6745.35 1.58621
6751.31 1.5937
6757.26 1.60122
6763.22 1.60876
6769.18 1.61634
6775.13 1.62393
6781.09 1.63156
6787.04 1.63921
6793 1.64689
6798.95 1.65459
6804.91 1.66232
6810.87 1.67008
6816.82 1.67787
6822.78 1.68568
6828.73 1.69352
6834.69 1.70139
6840.64 1.70928
6846.6 1.7172
6852.56 1.72515
6858.51 1.73313
6864.47 1.74113
6870.42 1.74916
6876.38 1.75722
6882.33 1.76531
6888.29 1.77343
6894.25 1.78157
6900.2 1.78974
6906.16 1.79794
6912.11 1.80617
6918.07 1.81442
6924.02 1.82271
6929.98 1.83102
6935.94 1.83936
6941.89 1.84773
6947.85 1.85613
6953.8 1.86455
6959.76 1.87301
6965.71 1.88149
6971.67 1.89001
6977.63 1.89855
6983.58 1.90714
6989.54 1.91576
6995.49 1.92443
7001.45 1.93314
7007.4 1.94189
7013.36 1.95067
7019.32 1.9595
7025.27 1.96837
7031.23 1.97728
7037.18 1.98624
7043.14 1.99523
7049.09 2.00427
7055.05 2.01335
7061.01 2.02247
7066.96 2.03163
7072.92 2.04084
7078.87 2.05008
7084.83 2.05937
7090.78 2.06871
7096.74 2.07809
7102.7 2.08751
7108.65 2.09697
7114.61 2.10648
7120.56 2.11603
7126.52 2.12562
7132.47 2.13526
7138.43 2.14495
7144.39 2.15468
7150.34 2.16445
7156.3 2.17427
7162.25 2.18413
7168.21 2.19404
7174.16 2.204
7180.12 2.214
7186.08 2.22405
7192.03 2.23414
7197.99 2.24428
7203.94 2.25446
7209.9 2.2647
7215.86 2.27498
7221.81 2.2853
7227.77 2.29568
7233.72 2.3061
7239.68 2.31657
7245.63 2.32709
7251.59 2.33765
7257.55 2.34827
7263.5 2.35893
7269.46 2.36964
7275.41 2.3804
7281.37 2.39121
7287.32 2.40207
7293.28 2.41298
7299.24 2.42394
7305.19 2.43495
7311.15 2.44601
7317.1 2.45712
7323.06 2.46828
7329.01 2.4795
7334.97 2.49076
